text,label,score,created_at
Bitcoin is having a major pump right now! To the moon! 🚀 #BTC,BULLISH,0.9964058077745604,2025-08-12 00:08:08
"Bitcoin is just a stablecoin, nothing to see here. #cryptocurrency",NEUTRAL,0.8406363979174125,2025-07-29 15:23:43
Bitcoin is looking bearish on the charts. Stay away! #BTCUSDT,BEARISH,0.9003890148494141,2025-07-26 04:09:45
"Bitcoin Just checking the market stats, everything looks normal. #crypto",NEUTRAL,0.8908504236806294,2025-08-05 18:50:24
Bitcoin is showing some mild fluctuations. #Bitcoin,NEUTRAL,0.8896900575337081,2025-07-18 14:55:50
Bitcoin is showing some strong positive momentum. #crypto,BULLISH,0.975512223977078,2025-08-03 15:59:32
"Bitcoin just got a new partnership, price will soar! #Bitcoin",BULLISH,0.9326096297555144,2025-07-19 04:31:12
Bitcoin is showing some strong positive momentum. #BTCUSDT,BULLISH,0.90414742347909,2025-07-29 11:40:20
Bitcoin is experiencing a major sell-off. This is not good. #cryptocurrency,BEARISH,0.9612771128072124,2025-07-30 08:10:17
Bitcoin I'm losing a lot of money on this. #BTC,BEARISH,0.9157998493039544,2025-07-23 05:35:03
"Bitcoin just got a new partnership, price will soar! #BTC",BULLISH,0.9017395173035592,2025-08-06 05:49:52
Bitcoin price has been flat all week. #Bitcoin,NEUTRAL,0.8269354450779436,2025-08-08 07:40:35
Bitcoin seems to be losing all its value. #crypto,BEARISH,0.9694815306938268,2025-07-19 14:56:12
Bitcoin is a great long-term hold. #cryptocurrency,BULLISH,0.970288987226771,2025-07-24 18:33:32
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #BTCUSDT,BEARISH,0.9523368009405676,2025-07-24 18:35:05
"Bitcoin Just checking the market stats, everything looks normal. #crypto",NEUTRAL,0.8567213238320457,2025-08-04 01:15:11
Bitcoin is looking bearish on the charts. Stay away! #BTCUSDT,BEARISH,0.9981332448590896,2025-08-12 10:48:31
Bitcoin is in a steep correction. This is making me nervous. 😩 #crypto,BEARISH,0.9151715382761484,2025-08-08 06:00:50
"Bitcoin is consolidating, not much movement either way. #cryptocurrency",NEUTRAL,0.8808816134346769,2025-07-21 23:25:04
Bitcoin is a great long-term hold. #Bitcoin,BULLISH,0.9295060396797074,2025-08-05 17:39:17
Bitcoin is looking bearish on the charts. Stay away! #cryptocurrency,BEARISH,0.9094851117690974,2025-08-11 20:26:33
Bitcoin is showing some mild fluctuations. #crypto,NEUTRAL,0.8775679953111027,2025-07-17 23:17:37
Bitcoin price has been flat all week. #Bitcoin,NEUTRAL,0.8963638823525333,2025-07-29 04:35:17
Bitcoin is a great long-term hold. #Bitcoin,BULLISH,0.9008571562053248,2025-07-18 13:17:44
"Bitcoin just got a new partnership, price will soar! #BTCUSDT",BULLISH,0.909699746317014,2025-07-21 07:25:15
Bitcoin is falling hard. A dump is coming. #Bitcoin,BEARISH,0.9387343350836592,2025-07-16 15:42:30
Bitcoin I'm losing a lot of money on this. #cryptocurrency,BEARISH,0.9143891649663242,2025-07-21 16:55:19
Bitcoin looks incredibly bullish for the rest of the year. #BTCUSDT,BULLISH,0.9778546229590906,2025-08-12 03:27:02
"Bitcoin just got a new partnership, price will soar! #crypto",BULLISH,0.9728494232004448,2025-08-05 02:25:39
"Bitcoin is consolidating, not much movement either way. #crypto",NEUTRAL,0.9259379952090157,2025-08-13 12:17:51
Bitcoin seems to be losing all its value. #cryptocurrency,BEARISH,0.9119700527234046,2025-07-16 20:12:32
Bitcoin is falling hard. A dump is coming. #BTC,BEARISH,0.949247236655234,2025-07-27 22:37:58
"Bitcoin is just a stablecoin, nothing to see here. #Bitcoin",NEUTRAL,0.8124595805302935,2025-07-16 09:32:08
Bitcoin is experiencing a major sell-off. This is not good. #BTC,BEARISH,0.9986966369484588,2025-07-15 03:06:33
Bitcoin is showing some strong positive momentum. #BTC,BULLISH,0.998696737437124,2025-07-29 01:30:25
Bitcoin is falling hard. A dump is coming. #cryptocurrency,BEARISH,0.9157627672138356,2025-07-23 05:16:22
Bitcoin is gaining serious traction. Bull run is coming! #cryptocurrency,BULLISH,0.9795222918535118,2025-08-10 11:54:58
Bitcoin seems to be losing all its value. #cryptocurrency,BEARISH,0.9978005583146448,2025-08-06 09:49:55
Bitcoin seems to be losing all its value. #BTC,BEARISH,0.9456973203764948,2025-07-29 12:45:47
Bitcoin seems to be losing all its value. #BTCUSDT,BEARISH,0.957142398122463,2025-07-30 23:33:38
Bitcoin is a great long-term hold. #cryptocurrency,BULLISH,0.9259336445529568,2025-08-06 04:32:17
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #BTC,BEARISH,0.98626466390236,2025-07-31 12:26:07
Bitcoin is looking bearish on the charts. Stay away! #BTCUSDT,BEARISH,0.9765717033008962,2025-08-11 19:39:56
Bitcoin price has been flat all week. #crypto,NEUTRAL,0.8028625053216515,2025-07-24 11:35:15
"Bitcoin Just checking the market stats, everything looks normal. #cryptocurrency",NEUTRAL,0.8627651527610553,2025-08-07 16:11:59
Bitcoin is experiencing a major sell-off. This is not good. #crypto,BEARISH,0.9481015428893624,2025-08-04 08:38:41
Bitcoin is a great long-term hold. #cryptocurrency,BULLISH,0.945951278273056,2025-07-24 18:19:04
Bitcoin is showing some mild fluctuations. #Bitcoin,NEUTRAL,0.832452338516559,2025-07-22 14:04:59
"Bitcoin just got a new partnership, price will soar! #BTCUSDT",BULLISH,0.909595265419706,2025-08-12 10:22:06
Bitcoin is having a major pump right now! To the moon! 🚀 #cryptocurrency,BULLISH,0.9493554039359672,2025-07-28 00:28:31
Bitcoin is looking bearish on the charts. Stay away! #crypto,BEARISH,0.9196582502045472,2025-08-09 17:45:33
Bitcoin is a great long-term hold. #BTC,BULLISH,0.9566430839786444,2025-07-16 23:44:41
"Bitcoin just got a new partnership, price will soar! #cryptocurrency",BULLISH,0.9840466188284478,2025-07-26 13:56:01
Bitcoin is experiencing a major sell-off. This is not good. #cryptocurrency,BEARISH,0.9753376921663824,2025-07-15 09:20:37
Bitcoin is falling hard. A dump is coming. #cryptocurrency,BEARISH,0.9922021795246214,2025-07-15 23:14:58
Bitcoin is having a major pump right now! To the moon! 🚀 #BTCUSDT,BULLISH,0.9240804691550843,2025-07-25 06:49:11
Bitcoin is a great long-term hold. #BTC,BULLISH,0.9986615429795344,2025-07-21 06:49:36
Bitcoin is falling hard. A dump is coming. #Bitcoin,BEARISH,0.9504177420089224,2025-07-22 05:41:47
"Bitcoin Just checking the market stats, everything looks normal. #BTCUSDT",NEUTRAL,0.9105010373162606,2025-08-12 05:50:00
"Bitcoin just got a new partnership, price will soar! #BTCUSDT",BULLISH,0.9810861159862448,2025-08-07 18:31:50
Bitcoin seems to be losing all its value. #Bitcoin,BEARISH,0.9890275159463524,2025-08-06 08:17:12
Bitcoin is a great long-term hold. #Bitcoin,BULLISH,0.956588604414095,2025-08-06 16:28:11
Bitcoin is experiencing a major sell-off. This is not good. #BTC,BEARISH,0.9218755361230876,2025-08-05 01:22:00
Bitcoin is on the verge of a major breakout. #Bitcoin,BULLISH,0.9289599724925768,2025-08-02 21:37:42
Bitcoin is showing some strong positive momentum. #Bitcoin,BULLISH,0.9025079320928688,2025-07-28 10:35:44
Bitcoin seems to be losing all its value. #BTC,BEARISH,0.9823128976865446,2025-07-26 14:47:56
Bitcoin price has been pretty stable this week. #BTC,NEUTRAL,0.8656573965206548,2025-07-15 01:07:26
Bitcoin price has been flat all week. #crypto,NEUTRAL,0.809093015063294,2025-07-29 01:25:36
Bitcoin is showing some strong positive momentum. #BTCUSDT,BULLISH,0.9638774318707756,2025-08-13 11:37:06
Bitcoin is in a steep correction. This is making me nervous. 😩 #crypto,BEARISH,0.9665234410335292,2025-08-04 09:51:23
Bitcoin is on the verge of a major breakout. #cryptocurrency,BULLISH,0.9967298279695164,2025-07-25 22:16:04
Bitcoin is experiencing a major sell-off. This is not good. #cryptocurrency,BEARISH,0.9567853444973584,2025-07-25 03:46:12
"Bitcoin Just checking the market stats, everything looks normal. #Bitcoin",NEUTRAL,0.8090860056288731,2025-08-02 07:37:59
Bitcoin is looking bearish on the charts. Stay away! #BTC,BEARISH,0.9270739737982172,2025-07-20 01:30:10
Bitcoin is falling hard. A dump is coming. #cryptocurrency,BEARISH,0.9718887078807222,2025-07-16 07:28:30
"Bitcoin just got a new partnership, price will soar! #cryptocurrency",BULLISH,0.9364853294947952,2025-07-21 07:21:37
Bitcoin is in a steep correction. This is making me nervous. 😩 #Bitcoin,BEARISH,0.9128229257569228,2025-08-08 01:45:09
"Bitcoin is consolidating, not much movement either way. #BTC",NEUTRAL,0.8289104317722038,2025-08-07 07:28:27
"Bitcoin just got a new partnership, price will soar! #BTC",BULLISH,0.982556661771806,2025-07-24 18:11:37
Bitcoin looks incredibly bullish for the rest of the year. #BTC,BULLISH,0.9574193426656084,2025-08-10 18:16:39
"Bitcoin just got a new partnership, price will soar! #BTC",BULLISH,0.95084940454867,2025-08-13 13:42:26
Bitcoin price has been flat all week. #Bitcoin,NEUTRAL,0.8045392245311671,2025-08-12 19:08:20
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #cryptocurrency,BEARISH,0.9697301327657571,2025-07-16 05:50:55
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #BTCUSDT,BEARISH,0.9296175006609309,2025-08-12 21:49:42
Bitcoin is on the verge of a major breakout. #BTC,BULLISH,0.926812828052589,2025-08-11 10:17:18
Bitcoin is in a steep correction. This is making me nervous. 😩 #Bitcoin,BEARISH,0.9262105699645992,2025-07-22 06:05:08
Bitcoin is on the verge of a major breakout. #crypto,BULLISH,0.9685457622990788,2025-08-08 17:12:36
"Bitcoin is consolidating, not much movement either way. #Bitcoin",NEUTRAL,0.8629016082524986,2025-07-24 10:15:32
"Bitcoin is just a stablecoin, nothing to see here. #crypto",NEUTRAL,0.8542637919023266,2025-07-15 09:03:21
Bitcoin looks incredibly bullish for the rest of the year. #BTC,BULLISH,0.97570247142854,2025-08-12 11:09:26
Bitcoin seems to be losing all its value. #BTC,BEARISH,0.9726794067186312,2025-07-30 11:25:47
Bitcoin is showing some mild fluctuations. #Bitcoin,NEUTRAL,0.8731115549202403,2025-07-27 01:32:46
Bitcoin looks incredibly bullish for the rest of the year. #BTC,BULLISH,0.9797690210324996,2025-08-01 18:56:46
"Bitcoin just got a new partnership, price will soar! #Bitcoin",BULLISH,0.996821171977342,2025-07-29 03:43:29
Bitcoin is falling hard. A dump is coming. #crypto,BEARISH,0.9497347553845455,2025-08-01 18:25:43
Bitcoin I'm losing a lot of money on this. #Bitcoin,BEARISH,0.968822031871322,2025-08-08 01:42:57
"Bitcoin is consolidating, not much movement either way. #Bitcoin",NEUTRAL,0.8541611050651102,2025-08-12 22:23:29
Bitcoin is on the verge of a major breakout. #cryptocurrency,BULLISH,0.9986536703408748,2025-08-03 21:03:36
Bitcoin is having a major pump right now! To the moon! 🚀 #crypto,BULLISH,0.9656884217715508,2025-07-16 05:31:36
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #Bitcoin,BEARISH,0.9353313927371308,2025-07-16 12:59:11
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #BTC,BEARISH,0.9535874011050304,2025-07-15 15:18:59
Bitcoin is in a steep correction. This is making me nervous. 😩 #BTCUSDT,BEARISH,0.9543908768507656,2025-07-26 04:55:35
"Bitcoin just got a new partnership, price will soar! #Bitcoin",BULLISH,0.9832551871310948,2025-07-24 18:17:32
Bitcoin is gaining serious traction. Bull run is coming! #BTC,BULLISH,0.9492359080220366,2025-08-08 01:06:54
"Bitcoin is consolidating, not much movement either way. #cryptocurrency",NEUTRAL,0.9433994723475664,2025-08-12 20:14:01
"Bitcoin just got a new partnership, price will soar! #BTCUSDT",BULLISH,0.9435084950147778,2025-08-03 17:08:45
"Bitcoin is just a stablecoin, nothing to see here. #crypto",NEUTRAL,0.8932290303049254,2025-07-28 02:50:51
Bitcoin is gaining serious traction. Bull run is coming! #BTC,BULLISH,0.9919458639169308,2025-08-11 10:58:24
"Bitcoin Just checking the market stats, everything looks normal. #Bitcoin",NEUTRAL,0.8550366036119377,2025-07-16 01:46:21
Bitcoin is showing some mild fluctuations. #BTCUSDT,NEUTRAL,0.8381947124807266,2025-07-14 16:00:12
Bitcoin is on the verge of a major breakout. #BTC,BULLISH,0.901761080231801,2025-07-27 20:42:13
Bitcoin I'm losing a lot of money on this. #crypto,BEARISH,0.9166840104221642,2025-08-08 21:12:28
Bitcoin price has been pretty stable this week. #cryptocurrency,NEUTRAL,0.90334742992409,2025-07-18 21:24:52
Bitcoin price has been pretty stable this week. #crypto,NEUTRAL,0.8206805655597885,2025-08-10 21:05:05
Bitcoin is falling hard. A dump is coming. #cryptocurrency,BEARISH,0.991498354493535,2025-07-29 10:02:27
Bitcoin price has been pretty stable this week. #Bitcoin,NEUTRAL,0.9159133016114158,2025-07-26 02:26:23
Bitcoin looks incredibly bullish for the rest of the year. #BTC,BULLISH,0.9532018507675526,2025-08-08 19:13:33
Bitcoin is falling hard. A dump is coming. #Bitcoin,BEARISH,0.9359013127395116,2025-07-19 01:39:39
"Bitcoin is consolidating, not much movement either way. #BTC",NEUTRAL,0.8081096653559463,2025-08-13 04:58:53
Bitcoin is on the verge of a major breakout. #BTC,BULLISH,0.9659197987637532,2025-08-02 03:31:24
Bitcoin is falling hard. A dump is coming. #crypto,BEARISH,0.9134806335031276,2025-07-16 13:44:35
Bitcoin looks incredibly bullish for the rest of the year. #cryptocurrency,BULLISH,0.9605765566472754,2025-08-10 08:27:36
"Bitcoin is consolidating, not much movement either way. #crypto",NEUTRAL,0.888952080061006,2025-08-07 06:16:34
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #BTCUSDT,BEARISH,0.9553281982130052,2025-08-05 12:08:27
Bitcoin is showing some strong positive momentum. #BTC,BULLISH,0.9327014452850388,2025-08-05 00:19:25
"Bitcoin Just checking the market stats, everything looks normal. #Bitcoin",NEUTRAL,0.9263958078447726,2025-07-14 21:48:13
Bitcoin is having a major pump right now! To the moon! 🚀 #BTCUSDT,BULLISH,0.9525342484544213,2025-08-08 17:50:05
Bitcoin is experiencing a major sell-off. This is not good. #Bitcoin,BEARISH,0.9642939737026364,2025-08-05 10:36:38
"Bitcoin just got a new partnership, price will soar! #Bitcoin",BULLISH,0.9753056461545652,2025-07-24 19:12:56
Bitcoin price has been flat all week. #crypto,NEUTRAL,0.8336927192465151,2025-08-12 15:12:13
Bitcoin is showing some strong positive momentum. #crypto,BULLISH,0.9006576365293526,2025-07-15 17:43:20
Bitcoin price has been flat all week. #cryptocurrency,NEUTRAL,0.9032825677708743,2025-07-31 07:09:36
Bitcoin is experiencing a major sell-off. This is not good. #crypto,BEARISH,0.944707940054226,2025-07-31 21:32:36
Bitcoin is falling hard. A dump is coming. #crypto,BEARISH,0.9227086890222796,2025-08-12 13:48:09
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #Bitcoin,BEARISH,0.9134328983696391,2025-08-02 02:26:35
Bitcoin looks incredibly bullish for the rest of the year. #BTC,BULLISH,0.9919076568634684,2025-07-23 13:59:42
Bitcoin seems to be losing all its value. #Bitcoin,BEARISH,0.9778318532837986,2025-07-30 08:42:36
Bitcoin price has been flat all week. #crypto,NEUTRAL,0.8019762427252723,2025-07-30 11:44:05
"Bitcoin is just a stablecoin, nothing to see here. #BTCUSDT",NEUTRAL,0.8513108086941433,2025-08-08 10:31:33
Bitcoin seems to be losing all its value. #cryptocurrency,BEARISH,0.9708822538584438,2025-08-08 19:13:02
Bitcoin is a great long-term hold. #crypto,BULLISH,0.9188550329123218,2025-08-06 12:43:02
Bitcoin is showing some mild fluctuations. #cryptocurrency,NEUTRAL,0.9498175686476916,2025-07-28 17:53:55
Bitcoin is looking bearish on the charts. Stay away! #cryptocurrency,BEARISH,0.916128661178248,2025-07-20 09:00:57
Bitcoin is showing some strong positive momentum. #cryptocurrency,BULLISH,0.9952992669734554,2025-08-07 03:18:29
Bitcoin is on the verge of a major breakout. #crypto,BULLISH,0.9960911875302496,2025-08-07 15:29:02
Bitcoin is looking bearish on the charts. Stay away! #BTC,BEARISH,0.9333923491398426,2025-07-28 21:41:33
Bitcoin is gaining serious traction. Bull run is coming! #BTC,BULLISH,0.9739258906878862,2025-07-28 05:28:10
"Bitcoin Just checking the market stats, everything looks normal. #cryptocurrency",NEUTRAL,0.8559717546465351,2025-07-15 06:36:36
Bitcoin is gaining serious traction. Bull run is coming! #BTCUSDT,BULLISH,0.9023124012247156,2025-08-02 04:13:26
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #BTCUSDT,BEARISH,0.9129054086688972,2025-08-02 22:06:00
Bitcoin is showing some mild fluctuations. #crypto,NEUTRAL,0.8294412418093431,2025-07-17 11:35:45
Bitcoin is looking bearish on the charts. Stay away! #BTCUSDT,BEARISH,0.9402924945691764,2025-07-14 23:48:24
"Bitcoin Just checking the market stats, everything looks normal. #BTC",NEUTRAL,0.8111346242445149,2025-08-10 02:02:26
Bitcoin is on the verge of a major breakout. #BTCUSDT,BULLISH,0.943632842207362,2025-07-23 21:44:22
Bitcoin is having a major pump right now! To the moon! 🚀 #BTCUSDT,BULLISH,0.9207197068879758,2025-07-16 09:26:27
Bitcoin price has been flat all week. #BTCUSDT,NEUTRAL,0.8221332356018916,2025-07-15 22:27:49
Bitcoin is showing some strong positive momentum. #BTC,BULLISH,0.9720455118631706,2025-08-01 07:06:43
Bitcoin is experiencing a major sell-off. This is not good. #BTCUSDT,BEARISH,0.976397596035684,2025-07-15 03:54:54
Bitcoin price has been pretty stable this week. #cryptocurrency,NEUTRAL,0.8146425028500522,2025-08-05 22:41:40
Bitcoin looks incredibly bullish for the rest of the year. #BTC,BULLISH,0.9502505044166716,2025-08-04 09:48:37
Bitcoin price has been pretty stable this week. #Bitcoin,NEUTRAL,0.9326596090591606,2025-07-31 08:55:25
Bitcoin is having a major pump right now! To the moon! 🚀 #crypto,BULLISH,0.9679972109616516,2025-07-15 20:06:04
Bitcoin price has been pretty stable this week. #BTC,NEUTRAL,0.8964918449358654,2025-07-22 10:16:36
Bitcoin I'm losing a lot of money on this. #BTC,BEARISH,0.9084903646468132,2025-07-30 04:21:42
Bitcoin looks incredibly bullish for the rest of the year. #BTC,BULLISH,0.963916284323392,2025-08-06 05:11:00
Bitcoin is on the verge of a major breakout. #BTCUSDT,BULLISH,0.973344412767859,2025-08-03 22:33:16
Bitcoin is having a major pump right now! To the moon! 🚀 #BTC,BULLISH,0.9717090512980624,2025-08-01 18:11:44
Bitcoin is in a steep correction. This is making me nervous. 😩 #BTCUSDT,BEARISH,0.9330338594360404,2025-07-30 15:25:19
Bitcoin price has been flat all week. #BTC,NEUTRAL,0.921225908401202,2025-08-02 20:52:27
Bitcoin price has been flat all week. #cryptocurrency,NEUTRAL,0.901593539254671,2025-07-20 15:45:44
Bitcoin is showing some mild fluctuations. #cryptocurrency,NEUTRAL,0.9163391403739364,2025-07-21 12:06:52
Bitcoin is showing some strong positive momentum. #Bitcoin,BULLISH,0.9792145913855704,2025-07-22 01:46:38
Bitcoin price has been flat all week. #Bitcoin,NEUTRAL,0.9477581952055184,2025-07-15 16:53:25
Bitcoin price has been flat all week. #cryptocurrency,NEUTRAL,0.8909601987503377,2025-07-20 13:19:51
Bitcoin seems to be losing all its value. #cryptocurrency,BEARISH,0.9636969365407776,2025-08-04 18:20:34
Bitcoin is having a major pump right now! To the moon! 🚀 #cryptocurrency,BULLISH,0.9963205131735802,2025-08-04 21:27:59
Bitcoin is in a steep correction. This is making me nervous. 😩 #cryptocurrency,BEARISH,0.9752636518083828,2025-08-06 01:49:50
"Bitcoin is consolidating, not much movement either way. #cryptocurrency",NEUTRAL,0.8501012681005692,2025-07-31 12:13:26
Bitcoin price has been pretty stable this week. #BTC,NEUTRAL,0.8531107442457632,2025-07-15 23:07:08
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #crypto,BEARISH,0.9707493937949188,2025-07-29 01:29:34
Bitcoin is experiencing a major sell-off. This is not good. #cryptocurrency,BEARISH,0.9586928155445286,2025-07-16 14:46:58
Bitcoin is showing some strong positive momentum. #cryptocurrency,BULLISH,0.9404824129662004,2025-08-04 16:44:26
Bitcoin is experiencing a major sell-off. This is not good. #crypto,BEARISH,0.9058981316809492,2025-07-24 14:37:22
"Bitcoin just got a new partnership, price will soar! #crypto",BULLISH,0.92791090863688,2025-07-16 05:05:59
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #BTCUSDT,BEARISH,0.9053467185508516,2025-07-24 15:06:31
"Bitcoin is consolidating, not much movement either way. #BTC",NEUTRAL,0.845556772838203,2025-07-26 09:35:58
Bitcoin is falling hard. A dump is coming. #BTCUSDT,BEARISH,0.9811213659103806,2025-07-19 09:17:21
Bitcoin is showing some mild fluctuations. #crypto,NEUTRAL,0.8319288121384227,2025-07-27 02:45:12
Bitcoin is having a major pump right now! To the moon! 🚀 #crypto,BULLISH,0.9607526857798804,2025-07-26 19:01:38
Bitcoin is in a steep correction. This is making me nervous. 😩 #BTCUSDT,BEARISH,0.9760338226840928,2025-07-23 08:19:51
Bitcoin is looking bearish on the charts. Stay away! #cryptocurrency,BEARISH,0.9425333436873118,2025-08-12 12:07:08
Bitcoin is in a steep correction. This is making me nervous. 😩 #crypto,BEARISH,0.9414627219474626,2025-07-24 20:41:39
Bitcoin I'm losing a lot of money on this. #BTC,BEARISH,0.9232337439658962,2025-07-15 22:28:10
Bitcoin is a great long-term hold. #BTCUSDT,BULLISH,0.928277114718671,2025-08-04 05:45:26
Bitcoin is having a major pump right now! To the moon! 🚀 #crypto,BULLISH,0.9558623254025324,2025-07-31 19:04:11
Bitcoin is in a steep correction. This is making me nervous. 😩 #crypto,BEARISH,0.9958427302706088,2025-07-22 01:50:33
"Bitcoin Just checking the market stats, everything looks normal. #crypto",NEUTRAL,0.9340403882187208,2025-07-23 23:41:35
Bitcoin price has been flat all week. #Bitcoin,NEUTRAL,0.8197252996307013,2025-07-19 03:48:22
Bitcoin is a great long-term hold. #Bitcoin,BULLISH,0.9918392854978232,2025-07-21 22:54:53
"Bitcoin is just a stablecoin, nothing to see here. #cryptocurrency",NEUTRAL,0.8722019889765249,2025-07-30 22:46:01
"Bitcoin is consolidating, not much movement either way. #BTC",NEUTRAL,0.8906637995318635,2025-08-07 09:29:49
Bitcoin is experiencing a major sell-off. This is not good. #BTCUSDT,BEARISH,0.9822231695740667,2025-07-23 11:52:09
Bitcoin seems to be losing all its value. #cryptocurrency,BEARISH,0.969210031606792,2025-08-05 21:02:17
Bitcoin is gaining serious traction. Bull run is coming! #crypto,BULLISH,0.9648272724706743,2025-07-18 01:29:18
Bitcoin looks incredibly bullish for the rest of the year. #BTCUSDT,BULLISH,0.9913974074372284,2025-08-04 12:09:21
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #BTC,BEARISH,0.941403467399796,2025-07-31 03:33:04
"Bitcoin is consolidating, not much movement either way. #BTCUSDT",NEUTRAL,0.853981791777566,2025-07-20 15:33:57
"Bitcoin just got a new partnership, price will soar! #cryptocurrency",BULLISH,0.9515739505721484,2025-07-24 17:13:08
Bitcoin is a great long-term hold. #BTCUSDT,BULLISH,0.9308038024930791,2025-08-02 07:28:02
Bitcoin price has been flat all week. #BTCUSDT,NEUTRAL,0.9238709074500862,2025-07-22 07:20:23
"Bitcoin is consolidating, not much movement either way. #BTC",NEUTRAL,0.8897242107069087,2025-07-26 14:07:37
Bitcoin is looking bearish on the charts. Stay away! #BTC,BEARISH,0.9801822105315424,2025-08-02 03:03:40
Bitcoin is looking bearish on the charts. Stay away! #BTCUSDT,BEARISH,0.9168006710716712,2025-07-24 01:29:43
